posemo,anx,anger,sad,affiliation
52.38,9.52,0,4.76,3.45
47.06,2.94,0,5.88,0
69.93,2.51,0.68,7.74,24.25
58.14,2.33,0,0,0
43.75,0,0,0,0
74.42,0,0,0,21.05
33.33,11.76,1.96,15.69,0
26.83,2.44,0,26.83,0
55.26,0,0,15.79,3.12
30,0,0,6.67,0
39.66,5.17,0,18.97,1.96
52.63,0,0,0,2.94
65.85,0,0,0,8.33
35.29,23.53,0,8.82,0
48,7,1.5,16,1.03
52.63,0,0,0,6.06
35.9,0,0,7.69,0
52.5,0,2.5,0,0
28.26,6.52,4.35,8.7,2.5
50,6.52,0,6.52,4.76
47.06,5.88,0,0,3.45
45.98,6.9,3.45,6.9,2.41
53.66,0,0,0,2.78
26.32,5.26,2.63,7.89,0
32.56,4.65,13.95,4.65,5.13
41.86,2.33,0,2.33,0
70.21,0,0,0,16.67
61.22,2.04,0,0,0
65.31,4.08,2.04,6.12,34.09
61.9,0,0,4.76,2.7
23.4,6.38,2.13,29.79,4.65
48.57,11.43,0,8.57,3.23
72.37,3.95,0,1.32,19.72
79.59,0,0,0,25
60.94,0,0,4.69,18.33
19.44,5.56,5.56,13.89,6.67
85.11,0,0,0,11.9
21.28,6.38,0,38.3,7.14
20,13.33,8.89,15.56,2.44
46.67,2.22,0,6.67,7.32
9.68,38.71,3.23,25.81,0
18.75,25,0,33.33,2.38
30.91,9.09,9.09,12.73,2.04
14,24,8,22,0
67.39,0,0,0,2.33
12.07,34.48,0,36.21,1.85
50.85,5.08,0,18.64,14.55
33.33,30,1.67,21.67,1.79
27.66,4.26,0,40.43,0
16.22,22.97,2.7,20.27,0
44,12,8,2,2.27
31.43,11.43,0,17.14,0
73.47,2.04,0,6.12,41.86
71.05,0,0,0,2.86
75,0,0,0,3.23
58.06,1.61,3.23,6.45,3.57
50,6.25,0,4.17,4.65
46.97,9.09,3.03,9.09,4.92
32.11,8.26,3.21,30.73,4.67
38.64,9.09,0,2.27,2.5
28.26,13.04,6.52,21.74,0
43.24,8.11,0,5.41,0
35.42,2.08,4.17,8.33,0
45.95,13.51,5.41,0,0
48.15,22.22,0,0,0
72.97,0,0,0,6.25
40,18,0,6,4.35
40.91,4.55,2.27,4.55,0
54.05,2.7,2.7,2.7,0
68.89,0,0,0,7.14
56.25,0,6.25,0,3.7
30,0,3.33,3.33,0
48.48,0,0,9.09,0
50,8.28,0.64,13.69,1.3
69.05,0,0,0,5.41
34.29,8.57,0,28.57,6.45
24.7,21.13,8.04,22.62,0.6
23.68,10.53,0,5.26,0
0,37.5,0,43.75,0
30,3.33,0,36.67,0
56,2,0,10,6.67
43.56,7.92,1.98,7.92,10.53
38.71,0,0,16.13,0
38.89,2.78,0,5.56,0
44.02,6.18,0.77,2.7,1.96
48.94,10.64,4.26,6.38,2.27
23.81,21.43,0,21.43,0
53.12,0,0,9.38,0
20,20,3.64,18.18,0
35.56,6.67,0,13.33,0
54.55,0,3.03,0,3.57
48.65,2.7,0,5.41,0
71.43,5.71,0,0,0
61.76,0,0,0,0
38.28,0.96,1.44,5.26,0
38.1,16.67,2.38,7.14,0
49.65,2.13,1.42,3.55,0.73
38.46,12.82,0,10.26,0
35.42,2.08,0,16.67,0
52.5,0,0,0,0
27.45,9.8,1.96,19.61,4.26
56.25,2.08,0,4.17,0
53.33,10,0,3.33,0
41.67,6.25,0,8.33,0
62.96,1.85,0,1.85,8.16
26.32,2.63,0,23.68,0
46.15,5.77,1.92,1.92,0
42.5,5,0,0,0
43.33,0,0,0,0
66.67,0,0,0,2.86
62.5,0,0,3.12,0
44.83,0,0,13.79,0
44.74,0,2.63,10.53,0
28.57,2.86,0,14.29,0
47.22,5.56,13.89,0,3.12
28.36,7.46,8.96,19.4,4.92
21.57,11.76,5.88,33.33,0
35.14,13.51,2.7,5.41,0
28.57,5.71,0,20,0
18.6,20.93,9.3,16.28,0
17.5,15,0,22.5,0
36.84,5.26,0,13.16,0
13.89,25,8.33,16.67,6.45
37.5,10,0,20,0
63.16,5.26,0,5.26,0
30.56,5.56,8.33,19.44,3.12
42.86,5.71,0,11.43,0
48.48,15.15,0,15.15,0
52.02,4.05,1.16,4.62,1.19
30,7.5,5,22.5,0
50,2.94,0,0,0
24,18,8,20,0
12.82,12.82,7.69,15.38,0
36.84,7.89,0,15.79,0
41.18,11.76,0,5.88,0
30.56,16.67,0,11.11,0
20,15,0,25,0
45.16,6.45,6.45,0,0
38.24,0,0,2.94,0
42.22,2.22,4.44,8.89,5
66.67,0,0,0,0
50,2.63,0,5.26,3.03
55.26,0,0,0,6.45
31.17,12.99,2.6,11.69,2.74
43.75,6.25,0,2.08,0
57.5,0,0,0,0
43.86,8.77,1.75,8.77,1.96
57.14,0,0,0,0
40.91,6.82,2.27,18.18,2.5
66.67,0,0,0,2.7
40,12.5,0,0,0
48.39,3.23,6.45,0,0
20,33.33,8.89,13.33,0
67.74,3.23,0,3.23,0
28.85,21.15,7.69,9.62,4.17
35.14,24.32,5.41,2.7,3.03
36.59,9.76,2.44,9.76,5.19
40,5,0,10,2.7
52.5,0,0,0,0
30.3,15.15,3.03,6.06,7.14
50,11.76,0,0,0
39.47,0,5.26,5.26,0
24.07,25.93,1.85,16.67,0
48.65,0,0,8.11,3.12
37.5,5,0,0,0
56.25,4.69,0,12.5,13.79
80.85,0,0,0,19.05
65.31,0,0,0,4.65
82.61,0,0,2.17,17.07
40.43,8.51,2.13,4.26,0
31.58,10.53,10.53,0,0
56.67,0,0,0,0
47.06,0,0,2.94,3.33
52.17,4.35,0,0,0
26.47,8.82,0,5.88,0
45,0,2.5,10,0
39.39,6.06,0,3.03,10.71
56.41,0,0,5.13,0
75.86,0,0,0,11.54
47.3,10.81,2.7,10.81,4.41
50,7.14,0,2.38,0
21.57,11.76,1.96,13.73,0
31.25,20.83,6.25,12.5,0
11.32,24.53,28.3,7.55,0
20.51,20.51,5.13,17.95,0
72.01,3.46,1.26,3.14,7.01
60.53,0,0,0,0
66.67,2.08,2.08,2.08,37.21
56.1,4.88,0,0,0
34.69,14.29,2.04,20.41,2.27
66.67,0,0,0,0
45.65,0,0,10.87,2.44
60,0,0,0,0
27.03,16.22,5.41,13.51,0
24.07,25.93,3.7,5.56,4
78.57,0,0,0,5.26
40,5.71,5.71,2.86,0
64.75,6.01,1.31,4.44,9.76
18.52,16.67,5.56,14.81,0
37.5,3.12,0,12.5,0
44.74,2.63,0,7.89,0
21.84,17.63,1.05,47.37,5.33
37.5,4.17,0,10.42,2.27
40.68,13.56,3.39,10.17,1.82
48.65,5.41,0,2.7,0
57.89,2.63,2.63,2.63,5.71
19.64,23.21,12.5,28.57,2
23.64,23.64,3.64,27.27,3.92
26.32,15.79,0,36.84,5.88
21.62,24.32,1.35,33.78,2.9
20.59,11.76,5.88,11.76,0
14.71,8.82,2.94,47.06,0
46.13,15.14,1.41,8.45,2.87
64.1,0,0,0,11.43
60.38,3.77,0,13.21,32.65
54.05,2.7,0,0,0
34.29,0,2.86,2.86,3.45
30.21,18.18,3.52,18.77,1.19
68.57,0,0,0,3.33
47.92,2.08,0,8.33,0
73.47,0,0,2.04,6.98
41.03,0,0,5.13,0
66.67,7.41,0,1.85,22
29.27,4.88,2.44,4.88,2.78
40.57,22,0,23.14,8.99
65.12,11.63,0,0,0
79.59,0,0,0,6.82
72.73,4.55,0,0,12.5
29.03,12.9,0,9.68,0
82.61,0,0,0,7.32
65.85,0,0,0,0
72.02,5.18,0,2.07,17.55
61.11,0,0,2.78,22.58
59.57,4.26,0,2.13,2.38
68.89,2.22,0,0,15
31.11,17.78,6.67,0,0
30.32,20.36,0.45,23.53,0.92
42.11,7.89,0,15.79,0
48.48,6.06,0,3.03,0
34,8,0,12,2.27
7.84,39.22,7.84,13.73,0
10.91,29.09,3.64,34.55,0
11.11,19.44,2.78,16.67,0
52.78,0,0,0,0
27.03,2.7,10.81,0,0
64,2,0,8,4.55
67.39,0,0,0,9.52
63.16,7.89,0,7.89,26.47
18.37,24.49,16.33,10.2,0
48.08,5.77,3.85,1.92,2.13
57.89,10.53,0,0,9.09
43.48,4.35,4.35,8.7,0
66.67,0,0,0,5.88
11.11,35.56,6.67,20,0
22,20,0,28,2.27
34.21,15.79,0,18.42,0
5,12.5,0,62.5,2.86
27.45,15.69,1.96,35.29,4.35
57.45,0,0,0,2.38
34.88,4.65,2.33,11.63,2.56
56.86,5.88,3.92,0,0
45.24,7.14,0,4.76,5.26
48,8,0,18,8.7
62.86,5.71,0,0,3.23
63.33,0,0,0,0
51.22,9.76,0,2.44,5.71
60.98,0,0,7.32,0
76.92,0,0,0,2.94
51.22,2.44,2.44,4.88,2.78
30.61,34.69,2.04,8.16,2.22
59.26,0,0,9.26,4
16.33,14.29,0,55.1,0
36.36,7.79,2.6,16.88,2.78
46.15,0,0,2.56,3.03
75,0,0,0,19.61
55.81,0,0,4.65,0
76.32,0,0,0,3.03
11.9,23.81,0,42.86,2.63
26.32,5.26,10.53,28.95,6.25
38.89,0,0,0,3.33
58.82,2.94,0,0,0
28.95,10.53,2.63,13.16,0
2.9,21.74,1.45,60.87,0
27.78,2.78,0,13.89,0
54.17,8.33,0,12.5,0
18.18,20,5.45,29.09,0
39.39,9.09,0,27.27,14.29
16.28,23.26,6.98,20.93,2.5
40,0,0,15.56,0
33.33,6.67,0,6.67,0
17.39,30.43,0,17.39,0
44.12,0,0,0,0
69.05,0,0,0,5.41
57.89,0,0,5.26,3.03
58.82,0,0,0,0
65.79,5.26,0,5.26,21.21
35.42,6.25,2.08,14.58,2.33
